,source,link,title,excerpt,vader_sentiment_title,tb_sentiment_title,flair_sentiment_title,av_sentiment_title,vader_sentiment_excerpt,tb_sentiment_excerpt,flair_sentiment_excerpt
0,CryptoPotato,https://cryptopotato.com/stablecoin-market-cap-hits-new-all-time-low-following-18-month-downtrend-binance/,Stablecoin Market Cap Hits New All-Time Low Following 18-Month Downtrend: Binance,"The stablecoin market capitalization has dropped to a new all-time low of $123.8 billion, a level last seen in September 2021. (Read More...)",36.34,52.27272727272727,0.12268722057342529,29.578471497766902,36.34,57.95454545454546,0.03460049629211426
1,Blockworks,https://blockworks.co/news/arbitrum-dao-funding-proposals-budget-voting-community,Arbitrum grant voting sees $88M in proposals compete for $44M in funding,DAO members have a week to vote on a list of 97 projects after the various proposals received well over a thousand forum replies (Read More...),68.06,50.0,0.5507469177246094,39.536915639241535,63.660000000000004,62.5,96.42161130905151
2,Feed - Cryptopotato.Com,https://cryptopotato.com/ripple-secures-major-victory-bitcoin-soars-to-28k-this-weeks-crypto-recap/,"Ripple Secures Major Victory, Bitcoin Soars to $28K: This Week’s Crypto Recap","Ripple continues landing win after win against the US SEC, while Bitcoin's price is making a statement this week. (Read More...)",65.91,53.125,99.58525896072388,72.87341965357463,91.125,75.0,97.66211807727814
3,COINTURK NEWS,https://en.coin-turk.com/shiba-inu-price-prediction-will-shib-rise-in-october/?utm_source=rss&utm_medium=rss&utm_campaign=shiba-inu-price-prediction-will-shib-rise-in-october,Shiba Inu Price Prediction: Will SHIB Rise in October?,"Despite being at the beginning of October, we are witnessing various economic events and volatile movements in the world of cryptocurrencies, particularly Bitcoin. Amidst all this, there is one altcoin that everyone is paying close attention to.The post Shiba Inu Price Prediction: Will SHIB Rise ... (Read More...)",50.0,50.0,0.334283709526062,33.44476123650869,50.0,60.83333333333334,98.79150390625
4,BeInCrypto,https://beincrypto.com/learn/what-is-crypto-loan/,What Is a Crypto Loan? A Guide to Using the DeFi Instrument,"For the crypto-rich yet cash-poor, crypto loans are a pathway to liquidity, an avenue to turn the dormant value of held assets into actionable capital without forsaking the potential long-term gains that those digital assets may accrue. Crypto is not just for holding or trading — it’s a dynamic f... (Read More...)",50.0,50.0,13.901352882385254,37.967117627461754,91.58,56.25,99.36146140098572
5,CoinDesk,https://www.coindesk.com/consensus-magazine/2023/10/06/far-from-the-sbf-trial-a-very-different-web3-narrative-is-unfolding/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Far From the SBF Trial, a Very Different Web3 Narrative Is Unfolding","The story of Sevi, a talented artist who happens to be a 10-year-old autistic boy living in Manila. (Read More...)",50.0,52.5,14.85990583896637,39.11996861298879,75.53,66.66666666666666,97.13360369205475
6,Dailycoin,https://dailycoin.com/canada-strengthens-crypto-regulation-with-new-guidelines/?utm_source=cryptopanic&utm_medium=rss,Canada Strengthens Crypto Regulation with New Guidelines,New regulations focus on increased transparency and investor protection in the Canadian crypto industry. (Read More...),72.94,56.81818181818181,99.63648021221161,76.46488734346447,63.660000000000004,65.9090909090909,7.276543974876404
7,Bitcoinist,https://bitcoinist.com/binance-spot-market-34/,"Binance Sees Spot Market Share Fall To 34%, What’s Going On?","Binance, the world’s leading cryptocurrency exchange’s spot market share has fallen for the seventh consecutive month and the crypto firm has reportedly lost more of its spot market share in the previous month. Binance Sees Spot Market Share Decline Reports have shown that the trading platform ha... (Read More...)",64.8,50.0,0.0344693660736084,38.278156455357866,60.114999999999995,57.91666666666666,0.0008225440979003906
8,Bitcoin.com,https://news.bitcoin.com/biggest-movers-avax-7-higher-ton-maintains-bullish-momentum-on-friday/,"Biggest Movers: AVAX 7% Higher, TON Maintains Bullish Momentum on Friday","Avalanche rose to a six-week high on Friday, after the token climbed above a key resistance level. The move saw price rise by as much as 7%, despite the global crypto market cap mostly in the red in today’s session. Toncoin remained higher, following recent gains. Avalanche (AVAX) Avalanche (AVAX... (Read More...)",50.0,62.5,99.77335929870605,70.75778643290202,67.0,59.20833333333333,0.14839768409729004
9,Bitcoin Magazine,https://bitcoinmagazine.com/markets/bitcoin-wont-fix-the-federal-reserve,Bitcoin Won’t Fix The Federal Reserve,"From “The Withdrawal Issue”, George Kaloudis discusses why Bitcoin's existence will not inspire responsible behavior from the Fed. (Read More...)",50.0,50.0,0.0032842159271240234,33.33442807197571,20.3,67.5,0.2461165189743042
10,Cointelegraph,https://cointelegraph.com/news/latest-from-web3-gaming-gaming-demo-day-with-cointelegraph-accelerator-animoca-brands-bga-metaera-cipholio-and-sandbox,"Latest from Web3 gaming: Gaming Demo Day with Cointelegraph Accelerator, Animoca Brands, BGA, Metaera, Cipholio and Sandbox","Cointelegraph Accelerator, Animoca Brands, BGA, Metaera, Cipholio and Sandbox the second Gaming Demo Day to showcase seven new projects from the Web3 gaming space. (Read More...)",50.0,75.0,99.7708797454834,74.9236265818278,50.0,60.60606060606061,98.2754796743393
11,coinedition,https://coinedition.com/top-8-defi-categories-by-tvl-liquid-staking-takes-the-lead/,Top 8 DeFi Categories by TVL: Liquid Staking Takes the Lead,"Ethereum holds 67.3% of the total TVL, with $55 billion locked. Real-world assets are described as “the new DeFi trend,” with an 84.6% increase in TVL over the past thirty days. CryptoRank reveals that liquid staking is the dominant decentralized finance (DeFi) category by total value locked (TVL... (Read More...)",60.114999999999995,75.0,99.22288954257965,78.11262984752655,82.985,53.86363636363636,15.89338481426239
12,CryptoPotato,https://cryptopotato.com/problem-solved-shib-telegram-admin-account-is-secure-again/,Problem Solved: SHIB Telegram Admin Account is Secure Again,"""My account in Telegram is secure again. I moved all to a brand new phone,"" RagnarShib.eth assured. (Read More...)",60.114999999999995,70.0,99.23067688941956,76.44855896313986,79.97000000000001,67.27272727272727,94.72706317901611
