,source,title,excerpt,vader_sentiment_title,tb_sentiment_title,flair_sentiment_title,vader_sentiment_excerpt,tb_sentiment_excerpt,flair_sentiment_excerpt,date
0,Bitcoin Magazine,The All-Important Journey To Self-Custody Bitcoin,Two Bitcoiners explain their custody journey and invite others to reflect upon their own steps to claiming their sovereignty. (Read More...),50.0,50.0,93.49587857723236,57.655,77.5,13.725599646568298,2022-09-11
1,AMBCrypto,"Cardano [ADA] stands below XRP by market cap, but daily gains state otherwise","Cardano [ADA] has been building lately ahead of the Vasil hardfork. This has resulted in a significant increase on the ADA prices. Since 9 September, ADA went as high as 8.5% on the daily chart but the surge has since slowed down. At press time, ADA was up by 3.5% according to CoinMarketCap and w... (Read More...)",73.83500000000001,50.0,4.6790748834609985,63.085,54.82870370370371,95.88698446750641,2022-09-11
2,Bitcoin Magazine,Bitcoin And Making Sense Of The European Crisis,"As the European energy crisis peaks, the larger implications for the world economy and bitcoin are becoming apparent. (Read More...)",18.755,50.0,99.88915622234344,27.060000000000002,60.0,89.7850751876831,2022-09-11
3,The Daily Hodl,Robinhood Working To Provide Transfers for Cardano (ADA) and All Other Crypto Assets on Its Platform,"Retail trading giant Robinhood is working on enabling external transfers for the Ethereum (ETH) competitor Cardano (ADA). The firm, which cited customer demand as its reason for listing the ADA earlier this month, is again listening to a customer request on Twitter to be able to transfer Cardano.... (Read More...)",58.894999999999996,43.75,99.78806674480438,43.6,56.666666666666664,0.1470118761062622,2022-09-11
4,AMBCrypto,Ethereum Name Service developers disagree with Vitalik ‘here’ but ENS remains…,"Ethereum [ETH] co-founder Vitalik Buterin and Ethereum Name Service [ENS] developers are at loggerheads due to the newly proposed pricing arrangements. On 9 September, Vitalik published a post via his ENS website, asking if the domains should follow a recurring pricing structure. According to him... (Read More...)",39.885,50.0,8.181160688400269,50.0,58.52272727272727,0.13031363487243652,2022-09-11
5,Bitcoin.com,Blockchain Gaming Publisher and Web3 Firm Animoca Brands Secures $110 Million,"Blockchain gaming publisher Animoca Brands announced the company has raised $110 million in a funding round led by Temasek, Boyu Capital, and GGV Capital. The company raised the funds by issuing convertible notes to a handful of institutional investors. Animoca Brands Raises $110 Million From Str... (Read More...)",65.91,40.0,99.46364462375641,50.0,57.49999999999999,5.513465404510498,2022-09-11
6,The Block,"JPMorgan seeking hire to push banking products onto metaverse, crypto companies","The bank said in the job advert that ""there is no industry playbook"" for web3, crypto, and metaverse segments. (Read More...)",50.0,50.0,6.316962838172913,35.199999999999996,75.0,0.4427403211593628,2022-09-11
7,CryptoPotato,Florida Man Faces Five Years in Prison for Stealing $100M Worth of Crypto,Joshua Nicholas might spend up to five years in jail after he and his colleagues stole $100 million in digital assets from investors. (Read More...),13.655000000000001,65.0,0.7177025079727173,58.894999999999996,56.666666666666664,0.18817484378814697,2022-09-11
8,AMBCrypto,ETH vs. BTC: A change of scenario in the futures market has left BTC at #2,"Bitcoin [BTC]‘s ever-dominating rise in the spot market (market cap) has left all rivals behind by a margin. Ethereum [ETH], the closest rival still has miles and miles to go before it could catch up with the king coin. However, what would happen if we change the battleground to the futures (mark... (Read More...)",50.0,50.0,85.24095714092255,29.905000000000005,51.66666666666666,0.16606450080871582,2022-09-11
9,Cointelegraph,"Binance removes 3 stablecoins, Russia eyes cross-border crypto payments and UK exudes crypto positivity: Hodler’s Digest, Sept. 4-10",(Read More...),75.53,50.0,13.89508843421936,50.0,75.0,96.50535881519318,2022-09-11
